Data as of,Start week,End Week,Group,State,Indicator,COVID Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID Deaths,Influenza Deaths,"Pneumonia, Influenza, and COVID Deaths",Footnote
05/12/2020,02/29/2020,02/29/2020,By week,Hawaii,Week-ending,0,237,1.03,14,0,,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Hawaii,Week-ending,0,237,0.96,19,0,,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Hawaii,Week-ending,0,242,0.84,17,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Hawaii,Week-ending,0,209,1.03,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Hawaii,Week-ending,0,230,0.96,14,0,,16,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Hawaii,Week-ending,,231,0.89,14,,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Hawaii,Week-ending,,207,0.86,13,,,15,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Hawaii,Week-ending,,192,0.92,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Hawaii,Week-ending,,191,0.73,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Hawaii,Week-ending,0,158,0.26,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Hawaii,Week-ending,0,57,0,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Idaho,Week-ending,0,249,1.04,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Idaho,Week-ending,0,293,0.99,18,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Idaho,Week-ending,0,279,1.02,11,0,,12,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Idaho,Week-ending,0,318,1,17,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Idaho,Week-ending,0,289,0.95,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Idaho,Week-ending,0,278,0.98,17,0,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Idaho,Week-ending,0,284,1.13,18,0,,21,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Idaho,Week-ending,0,308,1.11,22,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Idaho,Week-ending,,332,1.03,14,,,20,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Idaho,Week-ending,,270,1.05,15,,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Idaho,Week-ending,21,302,0.95,17,,0,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Idaho,Week-ending,10,273,0.87,12,,0,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Idaho,Week-ending,11,244,0.64,15,,0,23,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Idaho,Week-ending,,167,0.26,,,0,10,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Idaho,Week-ending,,69,0,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Illinois,Week-ending,0,2137,1.01,155,0,16,171,
05/12/2020,02/08/2020,02/08/2020,By week,Illinois,Week-ending,0,2228,0.98,157,0,10,167,
05/12/2020,02/15/2020,02/15/2020,By week,Illinois,Week-ending,0,2217,1,143,0,11,154,
05/12/2020,02/22/2020,02/22/2020,By week,Illinois,Week-ending,0,2203,1.01,142,0,14,156,
05/12/2020,02/29/2020,02/29/2020,By week,Illinois,Week-ending,0,2208,1.06,136,0,19,155,
05/12/2020,03/07/2020,03/07/2020,By week,Illinois,Week-ending,0,2246,1.03,169,0,27,196,
05/12/2020,03/14/2020,03/14/2020,By week,Illinois,Week-ending,,2179,1.07,165,,20,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Illinois,Week-ending,13,2260,1.06,164,,22,194,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Illinois,Week-ending,64,2273,1.23,228,41,16,266,
05/12/2020,04/04/2020,04/04/2020,By week,Illinois,Week-ending,265,2569,1.32,344,153,,462,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Illinois,Week-ending,403,2773,1.3,395,223,,580,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Illinois,Week-ending,465,2695,1.21,432,256,,645,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Illinois,Week-ending,336,2428,0.84,287,170,,454,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Illinois,Week-ending,64,1688,0.33,126,32,0,158,
05/12/2020,05/09/2020,05/09/2020,By week,Illinois,Week-ending,13,662,0,46,,0,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Indiana,Week-ending,0,1365,0.98,95,0,,102,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Indiana,Week-ending,0,1358,0.99,106,0,10,116,
05/12/2020,02/15/2020,02/15/2020,By week,Indiana,Week-ending,0,1406,1.04,92,0,,101,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Indiana,Week-ending,0,1392,1.04,105,0,13,118,
05/12/2020,02/29/2020,02/29/2020,By week,Indiana,Week-ending,0,1430,1.02,105,0,17,122,
05/12/2020,03/07/2020,03/07/2020,By week,Indiana,Week-ending,0,1343,1.02,94,0,14,108,
05/12/2020,03/14/2020,03/14/2020,By week,Indiana,Week-ending,,1372,0.95,112,0,14,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Indiana,Week-ending,12,1288,1.07,93,,13,111,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Indiana,Week-ending,45,1425,1.13,127,21,14,164,
05/12/2020,04/04/2020,04/04/2020,By week,Indiana,Week-ending,122,1500,1.14,212,73,,266,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Indiana,Week-ending,197,1511,1.05,224,105,,319,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Indiana,Week-ending,204,1356,1,193,97,0,300,
05/12/2020,04/25/2020,04/25/2020,By week,Indiana,Week-ending,163,1250,0.58,178,80,,262,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Indiana,Week-ending,28,716,0.19,58,10,,77,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Indiana,Week-ending,,238,0,14,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Iowa,Week-ending,0,612,1,54,0,,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Iowa,Week-ending,0,632,0.96,42,0,,44,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Iowa,Week-ending,0,595,0.99,36,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Iowa,Week-ending,0,639,0.99,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Iowa,Week-ending,0,638,1.01,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Iowa,Week-ending,0,613,1.04,42,0,13,55,
05/12/2020,03/14/2020,03/14/2020,By week,Iowa,Week-ending,0,625,0.96,51,0,17,68,
05/12/2020,03/21/2020,03/21/2020,By week,Iowa,Week-ending,0,587,0.94,35,0,16,51,
05/12/2020,03/28/2020,03/28/2020,By week,Iowa,Week-ending,,587,1.01,50,0,,60,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Iowa,Week-ending,16,591,0.99,55,,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Iowa,Week-ending,21,574,1,39,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Iowa,Week-ending,35,594,0.87,43,,,72,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Iowa,Week-ending,39,507,0.74,36,,0,67,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Iowa,Week-ending,31,431,0.25,24,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Iowa,Week-ending,,151,0,,0,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Kansas,Week-ending,0,546,0.9,36,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Kansas,Week-ending,0,502,1.03,26,0,,34,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Kansas,Week-ending,0,572,0.97,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Kansas,Week-ending,0,557,0.95,36,0,10,46,
05/12/2020,02/29/2020,02/29/2020,By week,Kansas,Week-ending,0,539,1.05,32,0,14,46,
05/12/2020,03/07/2020,03/07/2020,By week,Kansas,Week-ending,0,571,0.92,40,0,14,54,
05/12/2020,03/14/2020,03/14/2020,By week,Kansas,Week-ending,,519,0.92,45,0,,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Kansas,Week-ending,,510,0.96,27,0,15,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Kansas,Week-ending,,513,1.02,41,,,46,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Kansas,Week-ending,21,531,1,41,,0,53,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Kansas,Week-ending,32,506,1.02,56,13,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Kansas,Week-ending,36,522,1,40,18,,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Kansas,Week-ending,12,488,0.77,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Kansas,Week-ending,,370,0.27,17,,0,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Kansas,Week-ending,,131,0,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Kentucky,Week-ending,0,969,0.95,92,0,,100,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Kentucky,Week-ending,0,944,0.93,92,0,10,102,
05/12/2020,02/15/2020,02/15/2020,By week,Kentucky,Week-ending,0,937,1,77,0,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Kentucky,Week-ending,0,971,0.99,80,0,,85,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Kentucky,Week-ending,,992,0.96,86,,10,96,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Kentucky,Week-ending,0,960,0.97,75,0,,80,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Kentucky,Week-ending,0,970,0.92,84,0,14,98,
05/12/2020,03/21/2020,03/21/2020,By week,Kentucky,Week-ending,,884,0.91,76,,13,92,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Kentucky,Week-ending,,869,0.99,72,,,81,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Kentucky,Week-ending,43,956,0.94,107,28,,126,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Kentucky,Week-ending,42,882,0.8,96,26,,116,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Kentucky,Week-ending,45,760,0.64,76,21,0,100,
05/12/2020,04/25/2020,04/25/2020,By week,Kentucky,Week-ending,36,596,0.38,69,16,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Kentucky,Week-ending,,361,0.08,20,0,,26,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Kentucky,Week-ending,0,73,0,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Louisiana,Week-ending,0,963,0.97,41,0,,45,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Louisiana,Week-ending,0,936,0.95,35,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Louisiana,Week-ending,0,920,0.97,41,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Louisiana,Week-ending,0,898,1.03,33,0,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Louisiana,Week-ending,0,960,1.05,43,0,11,54,
05/12/2020,03/07/2020,03/07/2020,By week,Louisiana,Week-ending,,920,1.03,47,,,55,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Louisiana,Week-ending,0,907,0.94,42,0,,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Louisiana,Week-ending,35,860,1.22,66,19,,86,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Louisiana,Week-ending,150,1108,1.32,108,53,,209,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Louisiana,Week-ending,298,1181,1.35,183,123,,359,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Louisiana,Week-ending,333,1225,1.15,184,141,,377,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Louisiana,Week-ending,241,973,0.8,153,118,,278,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Louisiana,Week-ending,118,678,0.4,82,55,0,145,
05/12/2020,05/02/2020,05/02/2020,By week,Louisiana,Week-ending,30,360,0.08,24,13,,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Louisiana,Week-ending,,68,0,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Maine,Week-ending,0,288,1.14,19,0,,22,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Maine,Week-ending,0,316,1.11,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Maine,Week-ending,0,329,1.04,23,0,,25,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/22/2020,02/22/2020,By week,Maine,Week-ending,0,299,0.97,18,0,,19,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Maine,Week-ending,0,292,1.11,25,0,,28,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/07/2020,03/07/2020,By week,Maine,Week-ending,0,313,0.99,30,0,,32,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Maine,Week-ending,0,301,0.9,29,0,,35,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Maine,Week-ending,0,277,0.95,16,0,,18,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Maine,Week-ending,,279,0.97,31,,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/04/2020,04/04/2020,By week,Maine,Week-ending,,300,1.01,35,,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Maine,Week-ending,,304,1.02,31,,0,36,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Maine,Week-ending,,310,1.02,23,0,,33,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Maine,Week-ending,17,280,0.87,16,,,31,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Maine,Week-ending,,255,0.48,12,,0,17,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Maine,Week-ending,,127,0,,0,0,14,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Maryland,Week-ending,0,1033,0.96,68,0,,76,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/08/2020,02/08/2020,By week,Maryland,Week-ending,0,1003,0.97,62,0,,71,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Maryland,Week-ending,0,1018,0.94,71,0,12,83,
05/12/2020,02/22/2020,02/22/2020,By week,Maryland,Week-ending,0,966,1.04,62,0,,69,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Maryland,Week-ending,0,1069,1.02,74,0,10,84,
05/12/2020,03/07/2020,03/07/2020,By week,Maryland,Week-ending,0,1042,1,79,0,11,90,
05/12/2020,03/14/2020,03/14/2020,By week,Maryland,Week-ending,0,1003,1.05,65,0,13,78,
05/12/2020,03/21/2020,03/21/2020,By week,Maryland,Week-ending,,1054,1.09,81,,,91,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Maryland,Week-ending,18,1086,1.17,101,10,10,119,
05/12/2020,04/04/2020,04/04/2020,By week,Maryland,Week-ending,91,1175,1.34,153,44,,206,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/11/2020,04/11/2020,By week,Maryland,Week-ending,213,1328,1.3,178,89,10,308,
05/12/2020,04/18/2020,04/18/2020,By week,Maryland,Week-ending,281,1299,1.4,202,115,,369,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Maryland,Week-ending,308,1334,1.07,165,96,,378,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Maryland,Week-ending,211,998,0.35,125,72,,264,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Maryland,Week-ending,21,329,0,29,,0,42,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/01/2020,02/01/2020,By week,Massachusetts,Week-ending,0,1200,0.96,104,0,14,118,
05/12/2020,02/08/2020,02/08/2020,By week,Massachusetts,Week-ending,0,1231,0.99,92,0,13,105,
05/12/2020,02/15/2020,02/15/2020,By week,Massachusetts,Week-ending,0,1246,0.89,92,0,14,106,
05/12/2020,02/22/2020,02/22/2020,By week,Massachusetts,Week-ending,,1164,1.03,87,0,17,105,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/29/2020,02/29/2020,By week,Massachusetts,Week-ending,0,1275,0.97,100,0,21,121,
05/12/2020,03/07/2020,03/07/2020,By week,Massachusetts,Week-ending,,1212,1.06,86,0,16,103,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/14/2020,03/14/2020,By week,Massachusetts,Week-ending,0,1305,1,93,0,15,108,
05/12/2020,03/21/2020,03/21/2020,By week,Massachusetts,Week-ending,,1161,1.11,106,,11,120,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Massachusetts,Week-ending,40,1277,1.27,133,16,11,166,
05/12/2020,04/04/2020,04/04/2020,By week,Massachusetts,Week-ending,214,1532,1.66,251,114,11,361,
05/12/2020,04/11/2020,04/11/2020,By week,Massachusetts,Week-ending,602,1995,2.01,364,223,,745,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Massachusetts,Week-ending,1010,2374,1.96,467,329,,1152,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/25/2020,04/25/2020,By week,Massachusetts,Week-ending,1009,2259,1.27,481,362,,1129,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/02/2020,05/02/2020,By week,Massachusetts,Week-ending,478,1412,0.38,230,168,,540,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,05/09/2020,05/09/2020,By week,Massachusetts,Week-ending,84,434,0,57,32,0,109,
05/12/2020,02/01/2020,02/01/2020,By week,Michigan,Week-ending,0,1999,0.98,116,0,12,128,
05/12/2020,02/08/2020,02/08/2020,By week,Michigan,Week-ending,0,1927,0.98,132,0,,140,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,02/15/2020,02/15/2020,By week,Michigan,Week-ending,0,2007,1.04,110,0,18,128,
05/12/2020,02/22/2020,02/22/2020,By week,Michigan,Week-ending,0,2051,1,131,0,27,158,
05/12/2020,02/29/2020,02/29/2020,By week,Michigan,Week-ending,0,1957,0.99,98,0,26,124,
05/12/2020,03/07/2020,03/07/2020,By week,Michigan,Week-ending,0,1963,0.97,110,0,25,135,
05/12/2020,03/14/2020,03/14/2020,By week,Michigan,Week-ending,,1924,1.01,132,,25,157,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/21/2020,03/21/2020,By week,Michigan,Week-ending,15,1978,1.21,130,,30,170,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,03/28/2020,03/28/2020,By week,Michigan,Week-ending,195,2335,1.51,260,94,23,384,
05/12/2020,04/04/2020,04/04/2020,By week,Michigan,Week-ending,543,2902,1.56,524,282,17,800,
05/12/2020,04/11/2020,04/11/2020,By week,Michigan,Week-ending,758,3054,1.42,587,374,,979,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
05/12/2020,04/18/2020,04/18/2020,By week,Michigan,Week-ending,706,2748,1.21,522,360,,872,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
